245592
615199.75	6758325.96	565.59
615199.79	6758325.76	565.63
615196.91	6758325.68	565.26
615198.05	6758323.87	565.31
615197.86	6758319.80	565.00
615195.03	6758323.96	565.56
615194.46	6758324.69	565.20
615196.93	6758321.02	564.81
615199.45	6758313.11	566.50
615195.57	6758318.75	565.01
615192.67	6758322.99	565.22
615193.09	6758322.26	564.81
615195.91	6758318.10	564.90
615199.29	6758313.11	565.29
615195.67	6758314.26	564.90
615192.94	6758318.39	568.10
615189.50	6758323.28	564.71
615192.47	6758318.98	568.80
615193.66	6758317.06	564.84
615197.82	6758311.08	568.92
615199.32	6758304.45	564.79
615195.41	6758310.20	565.61
615192.01	6758315.16	564.80
615189.03	6758319.52	564.92
615188.00	6758320.92	564.84
615190.44	6758317.33	564.77
615193.51	6758312.79	564.94
615196.63	6758308.21	564.79
615199.24	6758300.22	565.01
615194.91	6758306.54	564.70
615191.09	6758312.13	564.80
615187.83	6758316.91	564.76
615185.76	6758319.82	564.88
615188.20	6758316.22	564.76
615191.26	6758311.71	564.87
615194.74	6758306.57	564.73
615198.63	6758300.85	564.83
615196.95	6758299.22	565.08
615193.02	6758304.95	564.74
615189.13	6758310.62	564.74
615185.86	6758315.41	564.95
615183.33	6758318.98	564.92
615185.76	6758315.42	564.97
615188.73	6758311.01	564.81
615192.19	6758305.92	564.75
615196.64	6758299.50	567.78
615199.90	6758294.62	565.71
615194.95	6758297.75	564.74
615190.63	6758304.05	564.70
615187.13	6758309.16	564.78
615183.76	6758314.08	564.82
615181.06	6758318.01	564.73
615183.16	6758314.83	564.80
615186.12	6758310.48	564.81
615189.25	6758305.87	565.04
615192.98	6758300.38	564.76
615197.49	6758293.94	569.09
615199.14	6758287.33	565.03
615194.56	6758294.02	565.30
615190.09	6758300.51	565.08
615185.99	6758306.48	564.98
615182.42	6758311.69	564.87
615180.03	6758315.16	564.87
615179.68	6758315.55	564.96
615182.04	6758312.07	564.84
615185.24	6758307.35	564.96
615188.82	6758302.09	564.76
615192.34	6758296.92	564.72
615196.91	6758290.30	566.82
615199.09	6758283.10	564.56
615194.43	6758289.90	564.70
615189.94	6758296.45	564.98
615185.63	6758302.71	564.79
615181.82	6758308.28	564.84
615178.57	6758313.00	564.82
615176.77	6758315.50	564.86
615179.29	6758311.80	564.88
615182.38	6758307.25	564.95
615185.90	6758302.08	564.81
615189.84	6758296.32	565.01
615193.93	6758290.32	564.76
615198.21	6758284.03	564.54
615197.00	6758281.85	564.56
615193.29	6758287.26	564.75
615188.77	6758293.83	564.69
615184.57	6758299.95	564.80
615180.80	6758305.42	564.81
615177.64	6758310.04	564.77
615175.22	6758313.54	564.81
615176.87	6758311.03	564.85
615179.56	6758307.09	564.77
615182.80	6758302.33	564.78
615186.48	6758296.94	564.85
615190.42	6758291.16	564.71
615194.61	6758285.03	564.63
615198.97	6758278.64	564.57
615196.74	6758278.19	567.15
615192.61	6758284.22	567.59
615187.48	6758291.57	564.70
615183.22	6758297.76	564.88
615179.34	6758303.40	564.84
615176.05	6758308.19	564.81
615173.88	6758311.24	564.94
